Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	macrophageStep
ENSG00000141524	TMC6	 EVER1, EVIN1, LAK-4P, TNRC6C-AS1,	"Transmembrane channel like 6"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	11322	TMC6	LiverMacrophage
ENSG00000141526	SLC16A3	 MCT3, MCT4,	"Solute carrier family 16 member 3"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9123	SLC16A3	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000141574	SECTM1	 K12,	"Secreted and transmembrane 1"	"Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	6398	SECTM1	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000141968	VAV1	 VAV,	"Vav guanine nucleotide exchange factor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7409	VAV1	FunctionGene
ENSG00000142046	TMEM91	 DSPC3, FLJ27310, IFITMD6,	"Transmembrane protein 91"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	641649	TMEM91	LiverMacrophage,KupfferCells
ENSG00000142065	ZFP14	 KIAA1559, ZNF531,	"ZFP14 zinc finger protein"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57677	ZFP14	TF
ENSG00000142089	IFITM3	 1-8U, DSPA2b,	"Interferon induced transmembrane protein 3"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	10410	IFITM3	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142166	IFNAR1	 IFNAR, IFRC,	"Interferon alpha and beta receptor subunit 1"	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3454	IFNAR1	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000142192	APP	 AD1,	"Amyloid beta precursor protein"	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	351	APP	LiverMacrophage,KupfferCells
ENSG00000142227	EMP3	 YMP,	"Epithelial membrane protein 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	2014	EMP3	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142327	RNPEPL1	 ,	"Arginyl aminopeptidase like 1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	57140	RNPEPL1	LiverMacrophage,KupfferCells
ENSG00000142347	MYO1F	 ,	"Myosin IF"	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4542	MYO1F	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142512	SIGLEC10	 MGC126774, PRO940, SIGLEC-10, SLG2,	"Sialic acid binding Ig like lectin 10"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	89790	SIGLEC10	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142556	ZNF614	 FLJ21941,	"Zinc finger protein 614"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	80110	ZNF614	TF
ENSG00000142669	SH3BGRL3	 ,	"SH3 domain binding glutamate rich protein like 3"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83442	SH3BGRL3	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142765	SYTL1	 exophilin-7, FLJ14996, JFC1, SLP1,	"Synaptotagmin like 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84958	SYTL1	FunctionGene
ENSG00000142867	BCL10	 c-E10, CARMEN, CIPER, CLAP, mE10,	"BCL10 immune signaling adaptor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8915	BCL10	FunctionGene
ENSG00000142875	PRKACB	 PKACb,	"Protein kinase cAMP-activated catalytic subunit beta"	"Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5567	PRKACB	LiverMacrophage
ENSG00000143079	CTTNBP2NL	 DKFZp547A023,	"CTTNBP2 N-terminal like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55917	CTTNBP2NL	LiverMacrophage
ENSG00000143110	C1orf162	 MGC24133,	"Chromosome 1 open reading frame 162"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	128346	C1orf162	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143119	CD53	 MOX44, TSPAN25,	"CD53 molecule"	"CD markers, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	963	CD53	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143157	POGK	 BASS2, KIAA15131, KRBOX2, LST003,	"Pogo transposable element derived with KRAB domain"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57645	POGK	TF
ENSG00000143164	DCAF6	 IQWD1, PC326,	"DDB1 and CUL4 associated factor 6"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55827	DCAF6	LiverMacrophage
ENSG00000143226	FCGR2A	 CD32, CD32A, CDw32, FCG2, FCGR2, FCGR2A1, IGFR2,	"Fc fragment of IgG receptor IIa"	"CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2212	FCGR2A	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143319	ISG20L2	 FLJ12671,	"Interferon stimulated exonuclease gene 20 like 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	81875	ISG20L2	FunctionGene
ENSG00000143321	HDGF	 HMG1L2,	"Heparin binding growth factor"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3068	HDGF	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000143384	MCL1	 BCL2L3, Mcl-1,	"MCL1 apoptosis regulator, BCL2 family member"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4170	MCL1	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143390	RFX5	 ,	"Regulatory factor X5"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5993	RFX5	TF
ENSG00000143443	C1orf56	 FLJ20519, MENT,	"Chromosome 1 open reading frame 56"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	54964	C1orf56	LiverMacrophage,KupfferCells
ENSG00000143537	ADAM15	 MDC15,	"ADAM metallopeptidase domain 15"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8751	ADAM15	LiverMacrophage,KupfferCells
ENSG00000143546	S100A8	 60B8AG, CAGA, CFAG, CGLA, MRP8, P8,	"S100 calcium binding protein A8"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	6279	S100A8	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143554	SLC27A3	 ACSVL3, FATP3, MGC4365,	"Solute carrier family 27 member 3"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	11000	SLC27A3	KupfferCells
ENSG00000143641	GALNT2	 GalNAc-T2,	"Polypeptide N-acetylgalactosaminyltransferase 2"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2590	GALNT2	LiverMacrophage,KupfferCells
ENSG00000143653	SCCPDH	 CGI-49, NET11,	"Saccharopine dehydrogenase (putative)"	"Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	51097	SCCPDH	LiverMacrophage
ENSG00000143669	LYST	 CHS, CHS1,	"Lysosomal trafficking regulator"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1130	LYST	KupfferCells
ENSG00000143771	CNIH4	 HSPC163,	"Cornichon family AMPA receptor auxiliary protein 4"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	29097	CNIH4	LiverMacrophage,KupfferCells
ENSG00000143815	LBR	 DHCR14B, TDRD18,	"Lamin B receptor"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3930	LBR	LiverMacrophage,KupfferCells
ENSG00000143878	RHOB	 ARH6, ARHB, MST081, RHOH6,	"Ras homolog family member B"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	388	RHOB	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143924	EML4	 C2orf2, ELP120, ROPP120,	"EMAP like 4"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27436	EML4	LiverMacrophage,KupfferCells
ENSG00000143933	CALM2	 CAMII, PHKD,	"Calmodulin 2"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	805	CALM2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000144021	CIAO1	 CIA1, WDR39,	"Cytosolic iron-sulfur assembly component 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9391	CIAO1	LiverMacrophage,KupfferCells
ENSG00000144026	ZNF514	 FLJ14457,	"Zinc finger protein 514"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84874	ZNF514	TF
ENSG00000144118	RALB	 ,	"RAS like proto-oncogene B"	"Enzymes, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5899	RALB	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000144136	SLC20A1	 Glvr-1, GLVR1, PiT-1,	"Solute carrier family 20 member 1"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	6574	SLC20A1	LiverMacrophage,KupfferCells
ENSG00000144224	UBXN4	 KIAA0242, UBXD2, UBXDC1,	"UBX domain protein 4"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23190	UBXN4	LiverMacrophage,KupfferCells
ENSG00000144455	SUMF1	 FGE, UNQ3037,	"Sulfatase modifying factor 1"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	285362	SUMF1	TopGeneInFirstStep
ENSG00000144567	RETREG2	 C2orf17, FAM134A, MAG-2, MGC3035,	"Reticulophagy regulator family member 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	79137	RETREG2	LiverMacrophage,KupfferCells
ENSG00000144655	CSRNP1	 AXUD1, DKFZp566F164, FAM130B, TAIP-3, URAX1,	"Cysteine and serine rich nuclear protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	64651	CSRNP1	TF,KupfferCells
ENSG00000144747	TMF1	 ARA160, TMF,	"TATA element modulatory factor 1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7110	TMF1	TF
ENSG00000144802	NFKBIZ	 FLJ34463, INAP, MAIL,	"NFKB inhibitor zeta"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	64332	NFKBIZ	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000144895	EIF2A	 EIF-2A,	"Eukaryotic translation initiation factor 2A"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83939	EIF2A	LiverMacrophage,KupfferCells
ENSG00000144909	OSBPL11	 FLJ13012, FLJ13164, ORP-11, ORP11,	"Oxysterol binding protein like 11"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	114885	OSBPL11	LiverMacrophage,KupfferCells
ENSG00000144959	NCEH1	 AADACL1, KIAA1363, NCEH,	"Neutral cholesterol ester hydrolase 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	57552	NCEH1	CancerDExpr,LiverMacrophage
ENSG00000145012	LPP	 ,	"LIM domain containing preferred translocation partner in lipoma"	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4026	LPP	LiverMacrophage,KupfferCells
ENSG00000145050	MANF	 ARMET, ARP,	"Mesencephalic astrocyte derived neurotrophic factor"	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7873	MANF	FunctionGene,KupfferCells
ENSG00000145287	PLAC8	 C15, onzin,	"Placenta associated 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51316	PLAC8	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000145354	CISD2	 ERIS, Miner1, NAF-1, WFS2, ZCD2,	"CDGSH iron sulfur domain 2"	"Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	493856	CISD2	LiverMacrophage
ENSG00000145416	MARCHF1	 FLJ20668, MARCH-I, MARCH1, RNF171,	"Membrane associated ring-CH-type finger 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55016	MARCHF1	LiverMacrophage,KupfferCells
ENSG00000145495	MARCHF6	 MARCH-VI, MARCH6, RNF176, TEB4,	"Membrane associated ring-CH-type finger 6"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10299	MARCHF6	LiverMacrophage,KupfferCells
ENSG00000145569	OTULINL	 FAM105A, FLJ11127, NET20,	"OTU deubiquitinase with linear linkage specificity like"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	54491	OTULINL	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000145675	PIK3R1	 GRB1, p85, p85-ALPHA,	"Phosphoinositide-3-kinase regulatory subunit 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5295	PIK3R1	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000145685	LHFPL2	 KIAA0206,	"LHFPL tetraspan subfamily member 2"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10184	LHFPL2	CancerDExpr
ENSG00000145703	IQGAP2	 ,	"IQ motif containing GTPase activating protein 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10788	IQGAP2	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000145779	TNFAIP8	 GG2-1, MDC-3.13, SCC-S2,	"TNF alpha induced protein 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	25816	TNFAIP8	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000145782	ATG12	 APG12, APG12L,	"Autophagy related 12"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	9140	ATG12	LiverMacrophage,KupfferCells
ENSG00000145860	RNF145	 FLJ31951,	"Ring finger protein 145"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	153830	RNF145	LiverMacrophage,KupfferCells
ENSG00000145901	TNIP1	 ABIN-1, KIAA0113, NAF1, VAN,	"TNFAIP3 interacting protein 1"	"Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10318	TNIP1	LiverMacrophage,KupfferCells
ENSG00000146070	PLA2G7	 LDL-PLA2, PAFAH,	"Phospholipase A2 group VII"	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	7941	PLA2G7	CancerDExpr,LiverMacrophage
ENSG00000146094	DOK3	 FLJ22570,	"Docking protein 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79930	DOK3	KupfferCells
ENSG00000146112	PPP1R18	 KIAA1949, phostensin,	"Protein phosphatase 1 regulatory subunit 18"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	170954	PPP1R18	LiverMacrophage,KupfferCells
ENSG00000146192	FGD2	 ZFYVE4,	"FYVE, RhoGEF and PH domain containing 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	221472	FGD2	LiverMacrophage,KupfferCells
ENSG00000146247	PHIP	 BRWD2, DCAF14, FLJ20705, ndrp, WDR11,	"Pleckstrin homology domain interacting protein"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55023	PHIP	LiverMacrophage,KupfferCells
ENSG00000146278	PNRC1	 B4-2, PROL2, PRR2,	"Proline rich nuclear receptor coactivator 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10957	PNRC1	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000146376	ARHGAP18	 bA307O14.2, MacGAP,	"Rho GTPase activating protein 18"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	93663	ARHGAP18	CancerDExpr
ENSG00000146386	ABRACL	 C6orf115, Costars, HSPC280, PRO2013,	"ABRA C-terminal like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	58527	ABRACL	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146416	AIG1	 AIG-1, dJ95L4.1, FLJ10485,	"Androgen induced 1"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	51390	AIG1	LiverMacrophage
ENSG00000146540	C7orf50	 MGC11257, YCR016W,	"Chromosome 7 open reading frame 50"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	84310	C7orf50	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146592	CREB5	 CRE-BPA, H_GS165L15.1,	"CAMP responsive element binding protein 5"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	9586	CREB5	TF,KupfferCells
ENSG00000146729	NIPSNAP2	 GBAS,	"Nipsnap homolog 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2631	NIPSNAP2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146757	ZNF92	 HPF12, TF12,	"Zinc finger protein 92"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	168374	ZNF92	TF
ENSG00000147118	ZNF182	 HHZ150, KOX14, Zfp182, ZNF21,	"Zinc finger protein 182"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7569	ZNF182	TF
ENSG00000147155	EBP	 CDPX2, CHO2, CPX, CPXD,	"EBP cholestenol delta-isomerase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10682	EBP	LiverMacrophage,KupfferCells
ENSG00000147168	IL2RG	 CD132, CIDX, IMD4, SCIDX1,	"Interleukin 2 receptor subunit gamma"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3561	IL2RG	TopGeneInFirstStep,FunctionGene
ENSG00000147251	DOCK11	 ACG, FLJ32122, FLJ43653, ZIZ2,	"Dedicator of cytokinesis 11"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	139818	DOCK11	LiverMacrophage
ENSG00000147421	HMBOX1	 FLJ21616, HNF1LA, HOT1, PBHNF,	"Homeobox containing 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	79618	HMBOX1	TF
ENSG00000147443	DOK2	 Dok-2, p56dok-2,	"Docking protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9046	DOK2	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000147454	SLC25A37	 HT015, MFRN, MFRN1, MSCP,	"Solute carrier family 25 member 37"	"Metabolic proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	51312	SLC25A37	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000147459	DOCK5	 FLJ21034,	"Dedicator of cytokinesis 5"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	80005	DOCK5	LiverMacrophage,KupfferCells
ENSG00000147526	TACC1	 ,	"Transforming acidic coiled-coil containing protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6867	TACC1	LiverMacrophage,KupfferCells
ENSG00000147533	GOLGA7	 GCP16, GOLGA3AP1, GOLGA7A, HSPC041,	"Golgin A7"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51125	GOLGA7	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000147548	NSD3	 FLJ20353, KMT3F, WHISTLE, WHSC1L1,	"Nuclear receptor binding SET domain protein 3"	"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54904	NSD3	KupfferCells
ENSG00000147601	TERF1	 PIN2, TRBF1, TRF, TRF1,	"Telomeric repeat binding factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	7013	TERF1	TF
ENSG00000147789	ZNF7	 HF.16, KOX4,	"Zinc finger protein 7"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7553	ZNF7	TF
ENSG00000147813	NAPRT	 NAPRT1, PP3856,	"Nicotinate phosphoribosyltransferase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	93100	NAPRT	LiverMacrophage,KupfferCells
ENSG00000147872	PLIN2	 ADFP, ADRP,	"Perilipin 2"	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	123	PLIN2	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000147894	C9orf72	 DENND9, DENNL72, MGC23980,	"C9orf72-SMCR8 complex subunit"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	203228	C9orf72	LiverMacrophage,KupfferCells
ENSG00000148175	STOM	 BND7, EPB7, EPB72,	Stomatin	"Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	2040	STOM	LiverMacrophage,KupfferCells
ENSG00000148180	GSN	 DKFZp313L0718,	Gelsolin	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	2934	GSN	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000148362	PAXX	 C9orf142, XLS,	"PAXX non-homologous end joining factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	286257	PAXX	LiverMacrophage,KupfferCells
ENSG00000148411	NACC2	 BEND9, BTBD14A, BTBD31, MGC23427,	"NACC family member 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	138151	NACC2	TF,KupfferCells
ENSG00000148444	COMMD3	 BUP, C10orf8,	"COMM domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23412	COMMD3	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000148450	MSRB2	 CBS-1, CBS1, CGI-131, MSRB, PILB,	"Methionine sulfoxide reductase B2"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22921	MSRB2	LiverMacrophage,KupfferCells
ENSG00000148484	RSU1	 FLJ31034, RSP-1,	"Ras suppressor protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6251	RSU1	LiverMacrophage,KupfferCells
ENSG00000148572	NRBF2	 COPR1, COPR2, DKFZp564C1664, FLJ30395,	"Nuclear receptor binding factor 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29982	NRBF2	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000148672	GLUD1	 GDH, GLUD,	"Glutamate dehydrogenase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2746	GLUD1	LiverMacrophage,KupfferCells
ENSG00000148700	ADD3	 ADDL,	"Adducin 3"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	120	ADD3	LiverMacrophage,KupfferCells
ENSG00000148719	DNAJB12	 DJ10, FLJ20027,	"DnaJ heat shock protein family (Hsp40) member B12"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	54788	DNAJB12	LiverMacrophage
ENSG00000148737	TCF7L2	 TCF-4, TCF4,	"Transcription factor 7 like 2"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6934	TCF7L2	TF,FunctionGene,LiverMacrophage
ENSG00000148803	FUOM	 C10orf125, FLJ26016, FucM, FucU,	"Fucose mutarotase"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	282969	FUOM	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000148908	RGS10	 ,	"Regulator of G protein signaling 10"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6001	RGS10	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000148926	ADM	 AM,	Adrenomedullin	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	133	ADM	FunctionGene,LiverMacrophage
ENSG00000149091	DGKZ	 DAGK5, DAGK6, DGK-ZETA, hDGKzeta,	"Diacylglycerol kinase zeta"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8525	DGKZ	KupfferCells
