Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000143942	CHAC2	 GCG1,	"ChaC glutathione specific gamma-glutamylcyclotransferase 2"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	494143	CHAC2	TcellActVsNaive
ENSG00000144021	CIAO1	 CIA1, WDR39,	"Cytosolic iron-sulfur assembly component 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9391	CIAO1	TopGeneInFirstStep
ENSG00000144026	ZNF514	 FLJ14457,	"Zinc finger protein 514"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84874	ZNF514	TF
ENSG00000144152	FBLN7	 FLJ37440, TM14,	"Fibulin 7"	"Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	129804	FBLN7	TopGeneInFirstStep
ENSG00000144182	LIPT1	 MGC12290, MGC13378,	"Lipoyltransferase 1"	"Disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51601	LIPT1	TopGeneInFirstStep
ENSG00000144224	UBXN4	 KIAA0242, UBXD2, UBXDC1,	"UBX domain protein 4"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23190	UBXN4	TopGeneInFirstStep
ENSG00000144401	METTL21A	 FAM119A, HCA557b, HSPA-KMT, LOC151194,	"Methyltransferase like 21A"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	151194	METTL21A	TopGeneInFirstStep
ENSG00000144455	SUMF1	 FGE, UNQ3037,	"Sulfatase modifying factor 1"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	285362	SUMF1	TopGeneInFirstStep
ENSG00000144476	ACKR3	 CMKOR1, CXCR7, GPR159, RDC1,	"Atypical chemokine receptor 3"	"Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	57007	ACKR3	FunctionGene
ENSG00000144655	CSRNP1	 AXUD1, DKFZp566F164, FAM130B, TAIP-3, URAX1,	"Cysteine and serine rich nuclear protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	64651	CSRNP1	TF
ENSG00000144747	TMF1	 ARA160, TMF,	"TATA element modulatory factor 1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7110	TMF1	TF
ENSG00000144802	NFKBIZ	 FLJ34463, INAP, MAIL,	"NFKB inhibitor zeta"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	64332	NFKBIZ	FunctionGene
ENSG00000144815	NXPE3	 FAM55C, MGC15606,	"Neurexophilin and PC-esterase domain family member 3"	"Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	91775	NXPE3	TopGeneInFirstStep
ENSG00000144895	EIF2A	 EIF-2A,	"Eukaryotic translation initiation factor 2A"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83939	EIF2A	TopGeneInFirstStep
ENSG00000145050	MANF	 ARMET, ARP,	"Mesencephalic astrocyte derived neurotrophic factor"	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7873	MANF	FunctionGene
ENSG00000145220	LYAR	 ZC2HC2, ZLYAR,	"Ly1 antibody reactive"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	55646	LYAR	TopGeneInFirstStep,TcellActVsNaive
ENSG00000145247	OCIAD2	 MGC45416,	"OCIA domain containing 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	132299	OCIAD2	TopGeneInFirstStep
ENSG00000145287	PLAC8	 C15, onzin,	"Placenta associated 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51316	PLAC8	TopGeneInFirstStep,CancerDExpr
ENSG00000145293	ENOPH1	 E1, MASA, mtnC,	"Enolase-phosphatase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	58478	ENOPH1	TopGeneInFirstStep
ENSG00000145649	GZMA	 CTLA3, HFSP,	"Granzyme A"	"Enzymes, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3001	GZMA	TopGeneInFirstStep
ENSG00000145675	PIK3R1	 GRB1, p85, p85-ALPHA,	"Phosphoinositide-3-kinase regulatory subunit 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5295	PIK3R1	FunctionGene
ENSG00000145687	SSBP2	 HSPC116,	"Single stranded DNA binding protein 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23635	SSBP2	TopGeneInFirstStep
ENSG00000145779	TNFAIP8	 GG2-1, MDC-3.13, SCC-S2,	"TNF alpha induced protein 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	25816	TNFAIP8	TopGeneInFirstStep
ENSG00000145860	RNF145	 FLJ31951,	"Ring finger protein 145"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	153830	RNF145	TcellActVsNaive
ENSG00000145982	FARS2	 dJ236A3.1, FARS1, mtPheRS,	"Phenylalanyl-tRNA synthetase 2, mitochondrial"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10667	FARS2	TopGeneInFirstStep
ENSG00000146109	ABT1	 Esf2,	"Activator of basal transcription 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	29777	ABT1	TopGeneInFirstStep
ENSG00000146278	PNRC1	 B4-2, PROL2, PRR2,	"Proline rich nuclear receptor coactivator 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10957	PNRC1	TopGeneInFirstStep
ENSG00000146285	SCML4	 dJ47M23.1,	"Scm polycomb group protein like 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	256380	SCML4	TopGeneInFirstStep,TF
ENSG00000146386	ABRACL	 C6orf115, Costars, HSPC280, PRO2013,	"ABRA C-terminal like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	58527	ABRACL	TopGeneInFirstStep
ENSG00000146540	C7orf50	 MGC11257, YCR016W,	"Chromosome 7 open reading frame 50"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	84310	C7orf50	TopGeneInFirstStep
ENSG00000146729	NIPSNAP2	 GBAS,	"Nipsnap homolog 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2631	NIPSNAP2	TopGeneInFirstStep
ENSG00000146757	ZNF92	 HPF12, TF12,	"Zinc finger protein 92"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	168374	ZNF92	TF
ENSG00000146833	TRIM4	 RNF87,	"Tripartite motif containing 4"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	89122	TRIM4	TopGeneInFirstStep
ENSG00000146842	TMEM209	 FLJ14803, NET31,	"Transmembrane protein 209"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	84928	TMEM209	TopGeneInFirstStep
ENSG00000146859	TMEM140	 FLJ11000,	"Transmembrane protein 140"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	55281	TMEM140	TopGeneInFirstStep
ENSG00000147118	ZNF182	 HHZ150, KOX14, Zfp182, ZNF21,	"Zinc finger protein 182"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7569	ZNF182	TF
ENSG00000147124	ZNF41	 MGC8941, MRX89,	"Zinc finger protein 41"	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7592	ZNF41	TF
ENSG00000147155	EBP	 CDPX2, CHO2, CPX, CPXD,	"EBP cholestenol delta-isomerase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10682	EBP	TopGeneInFirstStep
ENSG00000147168	IL2RG	 CD132, CIDX, IMD4, SCIDX1,	"Interleukin 2 receptor subunit gamma"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3561	IL2RG	TopGeneInFirstStep,FunctionGene
ENSG00000147408	CSGALNACT1	 ChGn, CSGalNAcT-1, FLJ11264,	"Chondroitin sulfate N-acetylgalactosaminyltransferase 1"	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55790	CSGALNACT1	TopGeneInFirstStep
ENSG00000147421	HMBOX1	 FLJ21616, HNF1LA, HOT1, PBHNF,	"Homeobox containing 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	79618	HMBOX1	TF
ENSG00000147439	BIN3	 ,	"Bridging integrator 3"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55909	BIN3	TopGeneInFirstStep
ENSG00000147443	DOK2	 Dok-2, p56dok-2,	"Docking protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9046	DOK2	TopGeneInFirstStep
ENSG00000147457	CHMP7	 MGC29816,	"Charged multivesicular body protein 7"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	91782	CHMP7	TopGeneInFirstStep
ENSG00000147533	GOLGA7	 GCP16, GOLGA3AP1, GOLGA7A, HSPC041,	"Golgin A7"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51125	GOLGA7	TopGeneInFirstStep
ENSG00000147548	NSD3	 FLJ20353, KMT3F, WHISTLE, WHSC1L1,	"Nuclear receptor binding SET domain protein 3"	"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54904	NSD3	TopGeneInFirstStep
ENSG00000147601	TERF1	 PIN2, TRBF1, TRF, TRF1,	"Telomeric repeat binding factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	7013	TERF1	TF
ENSG00000147687	TATDN1	 CDA11,	"TatD DNase domain containing 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	83940	TATDN1	TopGeneInFirstStep
ENSG00000147789	ZNF7	 HF.16, KOX4,	"Zinc finger protein 7"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7553	ZNF7	TF
ENSG00000147872	PLIN2	 ADFP, ADRP,	"Perilipin 2"	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	123	PLIN2	TopGeneInFirstStep
ENSG00000147955	SIGMAR1	 OPRS1, SR-BP1,	"Sigma non-opioid intracellular receptor 1"	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10280	SIGMAR1	TopGeneInFirstStep
ENSG00000148362	PAXX	 C9orf142, XLS,	"PAXX non-homologous end joining factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	286257	PAXX	TopGeneInFirstStep
ENSG00000148444	COMMD3	 BUP, C10orf8,	"COMM domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23412	COMMD3	TopGeneInFirstStep
ENSG00000148516	ZEB1	 AREB6, BZP, FECD6, NIL-2-A, PPCD3, TCF8, ZEB, Zfhep, Zfhx1a,	"Zinc finger E-box binding homeobox 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6935	ZEB1	TF
ENSG00000148572	NRBF2	 COPR1, COPR2, DKFZp564C1664, FLJ30395,	"Nuclear receptor binding factor 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29982	NRBF2	TopGeneInFirstStep
ENSG00000148660	CAMK2G	 CAMKG,	"Calcium/calmodulin dependent protein kinase II gamma"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	818	CAMK2G	TopGeneInFirstStep
ENSG00000148700	ADD3	 ADDL,	"Adducin 3"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	120	ADD3	TopGeneInFirstStep,CancerDExpr
ENSG00000148840	PPRC1	 KIAA0595, MGC74642, PRC,	"PPARG related coactivator 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23082	PPRC1	TcellActVsNaive
ENSG00000148908	RGS10	 ,	"Regulator of G protein signaling 10"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6001	RGS10	TopGeneInFirstStep,CancerDExpr
ENSG00000148950	IMMP1L	 FLJ25059, IMMP1,	"Inner mitochondrial membrane peptidase subunit 1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	196294	IMMP1L	TopGeneInFirstStep
ENSG00000149089	APIP	 APIP2, CGI-29, Mmrp19,	"APAF1 interacting protein"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51074	APIP	TopGeneInFirstStep
ENSG00000149196	HIKESHI	 C11orf73, HSPC138, HSPC179, OPI10,	"Heat shock protein nuclear import factor hikeshi"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51501	HIKESHI	TopGeneInFirstStep
ENSG00000149231	CCDC82	 FLJ23518,	"Coiled-coil domain containing 82"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79780	CCDC82	TopGeneInFirstStep
ENSG00000149269	PAK1	 ,	"P21 (RAC1) activated kinase 1"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5058	PAK1	FunctionGene
ENSG00000149311	ATM	 ATA, ATC, ATD, ATDC, TEL1, TELO1,	"ATM serine/threonine kinase"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	472	ATM	CancerDExpr
ENSG00000149476	TKFC	 DAK, DKFZP586B1621, NET45,	"Triokinase and FMN cyclase"	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26007	TKFC	FunctionGene
ENSG00000149483	TMEM138	 HSPC196, JBTS16,	"Transmembrane protein 138"	"Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51524	TMEM138	TopGeneInFirstStep
ENSG00000149761	NUDT22	 MGC13045,	"Nudix hydrolase 22"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84304	NUDT22	TopGeneInFirstStep
ENSG00000149781	FERMT3	 KIND3, MGC10966, MIG-2, MIG2B, UNC112C, URP2,	"Fermitin family member 3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	83706	FERMT3	TopGeneInFirstStep
ENSG00000149923	PPP4C	 PP4, PPX,	"Protein phosphatase 4 catalytic subunit"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5531	PPP4C	TopGeneInFirstStep,FunctionGene
ENSG00000150093	ITGB1	 CD29, FNRB, GPIIA, MDF2, MSK12,	"Integrin subunit beta 1"	"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3688	ITGB1	TopGeneInFirstStep
ENSG00000150347	ARID5B	 FLJ21150, MRF2,	"AT-rich interaction domain 5B"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	84159	ARID5B	TF
ENSG00000150593	PDCD4	 H731,	"Programmed cell death 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27250	PDCD4	TopGeneInFirstStep
ENSG00000150779	TIMM8B	 DDP2, FLJ21744, MGC102866, MGC117373, TIM8B,	"Translocase of inner mitochondrial membrane 8 homolog B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26521	TIMM8B	TopGeneInFirstStep
ENSG00000150867	PIP4K2A	 PIP5K2A, PIP5KIIA, PIP5KIIalpha,	"Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5305	PIP4K2A	TopGeneInFirstStep
ENSG00000150907	FOXO1	 FKH1, FKHR, FOXO1A,	"Forkhead box O1"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2308	FOXO1	TF
ENSG00000151092	NGLY1	 FLJ11005, PNG-1, PNG1,	"N-glycanase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55768	NGLY1	TopGeneInFirstStep
ENSG00000151135	TMEM263	 C12orf23, MGC17943,	"Transmembrane protein 263"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	90488	TMEM263	TopGeneInFirstStep
ENSG00000151500	THYN1	 THY28,	"Thymocyte nuclear protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29087	THYN1	TopGeneInFirstStep,TF
ENSG00000151552	QDPR	 DHPR, PKU2, SDR33C1,	"Quinoid dihydropteridine reductase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5860	QDPR	TopGeneInFirstStep
ENSG00000151657	KIN	 KIN17, Rts2,	"Kin17 DNA and RNA binding protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22944	KIN	TF
ENSG00000151702	FLI1	 EWSR2, SIC-1,	"Fli-1 proto-oncogene, ETS transcription factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2313	FLI1	TF
ENSG00000151882	CCL28	 CCK1, MEC, SCYA28,	"C-C motif chemokine ligand 28"	"Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	56477	CCL28	FunctionGene
ENSG00000152147	GEMIN6	 FLJ23459,	"Gem nuclear organelle associated protein 6"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79833	GEMIN6	TopGeneInFirstStep
ENSG00000152207	CYSLTR2	 CysLT(2), CYSLT2R,	"Cysteinyl leukotriene receptor 2"	"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	57105	CYSLTR2	FunctionGene
ENSG00000152256	PDK1	 ,	"Pyruvate dehydrogenase kinase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5163	PDK1	FunctionGene
ENSG00000152291	TGOLN2	 TGN38, TGN46, TGN48, TGN51, TTGN2,	"Trans-golgi network protein 2"	"Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10618	TGOLN2	TopGeneInFirstStep
ENSG00000152382	TADA1	 ADA1, hADA1, HFI1, STAF42, TADA1L,	"Transcriptional adaptor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	117143	TADA1	TopGeneInFirstStep
ENSG00000152433	ZNF547	 FLJ31100,	"Zinc finger protein 547"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284306	ZNF547	TF
ENSG00000152439	ZNF773	 MGC4728, ZNF419B,	"Zinc finger protein 773"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	374928	ZNF773	TopGeneInFirstStep,TF
ENSG00000152443	ZNF776	 FLJ38288,	"Zinc finger protein 776"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284309	ZNF776	TF
ENSG00000152454	ZNF256	 BMZF-3,	"Zinc finger protein 256"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10172	ZNF256	TF
ENSG00000152465	NMT2	 ,	"N-myristoyltransferase 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9397	NMT2	TopGeneInFirstStep
ENSG00000152495	CAMK4	 CaMK-GR, CaMKIV,	"Calcium/calmodulin dependent protein kinase IV"	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	814	CAMK4	TopGeneInFirstStep,CancerDExpr
ENSG00000152558	TMEM123	 KCT3, PORIMIN,	"Transmembrane protein 123"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	114908	TMEM123	TopGeneInFirstStep,CancerDExpr
ENSG00000152700	SAR1B	 SARA2,	"Secretion associated Ras related GTPase 1B"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51128	SAR1B	TopGeneInFirstStep
ENSG00000152818	UTRN	 DMDL, DRP, DRP1,	Utrophin	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7402	UTRN	TopGeneInFirstStep
ENSG00000152904	GGPS1	 GGPPS1,	"Geranylgeranyl diphosphate synthase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9453	GGPS1	TopGeneInFirstStep
ENSG00000153029	MR1	 HLALS,	"Major histocompatibility complex, class I-related"	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3140	MR1	FunctionGene
ENSG00000153130	SCOC	 HRIHFB2072, SCOCO, UNC-69,	"Short coiled-coil protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	60592	SCOC	TopGeneInFirstStep
ENSG00000153250	RBMS1	 C2orf12, DKFZp564H0764, HCC-4, MSSP-1, MSSP-2, MSSP-3, SCR2, YC1,	"RNA binding motif single stranded interacting protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5937	RBMS1	TopGeneInFirstStep
ENSG00000153283	CD96	 TACTILE,	"CD96 molecule"	"CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10225	CD96	TopGeneInFirstStep,CancerDExpr
ENSG00000153310	CYRIB	 BM-009, CYRI, CYRI-B, FAM49B,	"CYFIP related Rac1 interactor B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51571	CYRIB	TopGeneInFirstStep
ENSG00000153406	NMRAL1	 FLJ25918, HSCARG, SDR48A1,	"NmrA like redox sensor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57407	NMRAL1	TopGeneInFirstStep
ENSG00000153551	CMTM7	 CKLFSF7, FLJ30992,	"CKLF like MARVEL transmembrane domain containing 7"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	112616	CMTM7	TopGeneInFirstStep,FunctionGene
ENSG00000153563	CD8A	 CD8,	"CD8a molecule"	"CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	925	CD8A	FunctionGene
ENSG00000153896	ZNF599	 FLJ30663,	"Zinc finger protein 599"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	148103	ZNF599	TF
ENSG00000153975	ZUP1	 C6orf113, dJ412I7.3, ZUFSP,	"Zinc finger containing ubiquitin peptidase 1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	221302	ZUFSP	TF
ENSG00000154016	GRAP	 ,	"GRB2 related adaptor protein"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10750	GRAP	TopGeneInFirstStep
ENSG00000154144	TBRG1	 FLJ14621, NIAM, TB-5,	"Transforming growth factor beta regulator 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84897	TBRG1	TopGeneInFirstStep
ENSG00000154451	GBP5	 ,	"Guanylate binding protein 5"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	115362	GBP5	TopGeneInFirstStep
ENSG00000154511	DIPK1A	 FAM69A, FLJ23493,	"Divergent protein kinase domain 1A"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	388650	DIPK1A	TopGeneInFirstStep
ENSG00000154518	ATP5MC3	 ATP5G3,	"ATP synthase membrane subunit c locus 3"	"Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	518	ATP5MC3	TopGeneInFirstStep
ENSG00000154582	ELOC	 SIII, TCEB1,	"Elongin C"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6921	ELOC	TopGeneInFirstStep
ENSG00000154727	GABPA	 E4TF1-60, E4TF1A, NFT2, NRF2, NRF2A,	"GA binding protein transcription factor subunit alpha"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2551	GABPA	TF
ENSG00000154814	OXNAD1	 MGC15763,	"Oxidoreductase NAD binding domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	92106	OXNAD1	TopGeneInFirstStep,CancerDExpr
ENSG00000154957	ZNF18	 HDSG1, KOX11, Zfp535, ZKSCAN6, ZNF535, ZSCAN38,	"Zinc finger protein 18"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7566	ZNF18	TF
ENSG00000154978	VOPP1	 DKFZp564K0822, ECop, FLJ20532, GASP, WBP1L2,	"VOPP1 WW domain binding protein"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	81552	VOPP1	TopGeneInFirstStep
ENSG00000155307	SAMSN1	 HACS1, NASH1, SASH2, SH3D6B, SLy2,	"SAM domain, SH3 domain and nuclear localization signals 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	64092	SAMSN1	TopGeneInFirstStep
