Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD8.T.cellStep	CD4.T.cellStep	macrophageStep
ENSG00000140455	USP3	 ,	"Ubiquitin specific peptidase 3"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9960	USP3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000140464	PML	 MYL, RNF71, TRIM19,	"PML nuclear body scaffold"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5371	PML	FunctionGene	FunctionGene	FunctionGene
ENSG00000140497	SCAMP2	 ,	"Secretory carrier membrane protein 2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10066	SCAMP2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000140632	GLYR1	 BM045, HIBDL, N-PAC, NP60,	"Glyoxylate reductase 1 homolog"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84656	GLYR1	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000140931	CMTM3	 BNAS2, CKLFSF3, FLJ31762,	"CKLF like MARVEL transmembrane domain containing 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	123920	CMTM3	FunctionGene	FunctionGene	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000140968	IRF8	 ICSBP, ICSBP1, IRF-8,	"Interferon regulatory factor 8"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3394	IRF8	TF,TcellActVsNaive	TF,TcellActVsNaive	TopGeneInFirstStep,CancerDExpr,TF,LiverMacrophage,KupfferCells
ENSG00000140987	ZSCAN32	 FLJ20417, ZNF434,	"Zinc finger and SCAN domain containing 32"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	54925	ZSCAN32	TF	TF	TF
ENSG00000141027	NCOR1	 hCIT529I10, hN-CoR, KIAA1047, MGC104216, N-CoR, PPP1R109, TRAC1,	"Nuclear receptor corepressor 1"	"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	9611	NCOR1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000141232	TOB1	 APRO5, TOB, TROB, TROB1,	"Transducer of ERBB2, 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10140	TOB1	TopGeneInFirstStep	TopGeneInFirstStep	KupfferCells
ENSG00000141506	PIK3R5	 p101, P101-PI3K,	"Phosphoinositide-3-kinase regulatory subunit 5"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23533	PIK3R5	FunctionGene	FunctionGene	FunctionGene,LiverMacrophage
ENSG00000141510	TP53	 LFS1, p53,	"Tumor protein p53"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7157	TP53	TF	TF	TF
ENSG00000141524	TMC6	 EVER1, EVIN1, LAK-4P, TNRC6C-AS1,	"Transmembrane channel like 6"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	11322	TMC6	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000141968	VAV1	 VAV,	"Vav guanine nucleotide exchange factor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7409	VAV1	FunctionGene	FunctionGene	FunctionGene
ENSG00000142065	ZFP14	 KIAA1559, ZNF531,	"ZFP14 zinc finger protein"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57677	ZFP14	TF	TF	TF
ENSG00000142089	IFITM3	 1-8U, DSPA2b,	"Interferon induced transmembrane protein 3"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	10410	IFITM3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142166	IFNAR1	 IFNAR, IFRC,	"Interferon alpha and beta receptor subunit 1"	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3454	IFNAR1	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000142227	EMP3	 YMP,	"Epithelial membrane protein 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	2014	EMP3	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142556	ZNF614	 FLJ21941,	"Zinc finger protein 614"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	80110	ZNF614	TF	TF	TF
ENSG00000142669	SH3BGRL3	 ,	"SH3 domain binding glutamate rich protein like 3"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83442	SH3BGRL3	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000142765	SYTL1	 exophilin-7, FLJ14996, JFC1, SLP1,	"Synaptotagmin like 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84958	SYTL1	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene
ENSG00000142867	BCL10	 c-E10, CARMEN, CIPER, CLAP, mE10,	"BCL10 immune signaling adaptor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8915	BCL10	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	FunctionGene
ENSG00000142875	PRKACB	 PKACb,	"Protein kinase cAMP-activated catalytic subunit beta"	"Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5567	PRKACB	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000143110	C1orf162	 MGC24133,	"Chromosome 1 open reading frame 162"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	128346	C1orf162	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143119	CD53	 MOX44, TSPAN25,	"CD53 molecule"	"CD markers, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	963	CD53	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143157	POGK	 BASS2, KIAA15131, KRBOX2, LST003,	"Pogo transposable element derived with KRAB domain"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57645	POGK	TF	TF	TF
ENSG00000143319	ISG20L2	 FLJ12671,	"Interferon stimulated exonuclease gene 20 like 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	81875	ISG20L2	FunctionGene	FunctionGene	FunctionGene
ENSG00000143321	HDGF	 HMG1L2,	"Heparin binding growth factor"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3068	HDGF	FunctionGene	FunctionGene	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000143390	RFX5	 ,	"Regulatory factor X5"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5993	RFX5	TF	TF	TF
ENSG00000143443	C1orf56	 FLJ20519, MENT,	"Chromosome 1 open reading frame 56"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	54964	C1orf56	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000143546	S100A8	 60B8AG, CAGA, CFAG, CGLA, MRP8, P8,	"S100 calcium binding protein A8"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	6279	S100A8	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000143771	CNIH4	 HSPC163,	"Cornichon family AMPA receptor auxiliary protein 4"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	29097	CNIH4	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000143815	LBR	 DHCR14B, TDRD18,	"Lamin B receptor"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3930	LBR	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000143933	CALM2	 CAMII, PHKD,	"Calmodulin 2"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	805	CALM2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000144021	CIAO1	 CIA1, WDR39,	"Cytosolic iron-sulfur assembly component 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9391	CIAO1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000144026	ZNF514	 FLJ14457,	"Zinc finger protein 514"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84874	ZNF514	TF	TF	TF
ENSG00000144224	UBXN4	 KIAA0242, UBXD2, UBXDC1,	"UBX domain protein 4"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23190	UBXN4	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000144455	SUMF1	 FGE, UNQ3037,	"Sulfatase modifying factor 1"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	285362	SUMF1	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep
ENSG00000144655	CSRNP1	 AXUD1, DKFZp566F164, FAM130B, TAIP-3, URAX1,	"Cysteine and serine rich nuclear protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	64651	CSRNP1	TF	TF	TF,KupfferCells
ENSG00000144747	TMF1	 ARA160, TMF,	"TATA element modulatory factor 1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7110	TMF1	TF	TF	TF
ENSG00000144802	NFKBIZ	 FLJ34463, INAP, MAIL,	"NFKB inhibitor zeta"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	64332	NFKBIZ	FunctionGene	FunctionGene	CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000144895	EIF2A	 EIF-2A,	"Eukaryotic translation initiation factor 2A"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83939	EIF2A	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000145050	MANF	 ARMET, ARP,	"Mesencephalic astrocyte derived neurotrophic factor"	"Plasma proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7873	MANF	FunctionGene	FunctionGene	FunctionGene,KupfferCells
ENSG00000145287	PLAC8	 C15, onzin,	"Placenta associated 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51316	PLAC8	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000145675	PIK3R1	 GRB1, p85, p85-ALPHA,	"Phosphoinositide-3-kinase regulatory subunit 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5295	PIK3R1	CancerDExpr,FunctionGene	FunctionGene	FunctionGene,LiverMacrophage,KupfferCells
ENSG00000145779	TNFAIP8	 GG2-1, MDC-3.13, SCC-S2,	"TNF alpha induced protein 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	25816	TNFAIP8	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146278	PNRC1	 B4-2, PROL2, PRR2,	"Proline rich nuclear receptor coactivator 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10957	PNRC1	TopGeneInFirstStep	TopGeneInFirstStep	CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000146386	ABRACL	 C6orf115, Costars, HSPC280, PRO2013,	"ABRA C-terminal like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	58527	ABRACL	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146540	C7orf50	 MGC11257, YCR016W,	"Chromosome 7 open reading frame 50"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	84310	C7orf50	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146729	NIPSNAP2	 GBAS,	"Nipsnap homolog 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2631	NIPSNAP2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000146757	ZNF92	 HPF12, TF12,	"Zinc finger protein 92"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	168374	ZNF92	TF	TF	TF
ENSG00000147118	ZNF182	 HHZ150, KOX14, Zfp182, ZNF21,	"Zinc finger protein 182"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7569	ZNF182	TF	TF	TF
ENSG00000147155	EBP	 CDPX2, CHO2, CPX, CPXD,	"EBP cholestenol delta-isomerase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10682	EBP	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000147168	IL2RG	 CD132, CIDX, IMD4, SCIDX1,	"Interleukin 2 receptor subunit gamma"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3561	IL2RG	TopGeneInFirstStep,CancerDExpr,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene
ENSG00000147421	HMBOX1	 FLJ21616, HNF1LA, HOT1, PBHNF,	"Homeobox containing 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	79618	HMBOX1	TF	TF	TF
ENSG00000147443	DOK2	 Dok-2, p56dok-2,	"Docking protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9046	DOK2	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000147533	GOLGA7	 GCP16, GOLGA3AP1, GOLGA7A, HSPC041,	"Golgin A7"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51125	GOLGA7	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000147601	TERF1	 PIN2, TRBF1, TRF, TRF1,	"Telomeric repeat binding factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	7013	TERF1	TF	TF	TF
ENSG00000147789	ZNF7	 HF.16, KOX4,	"Zinc finger protein 7"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7553	ZNF7	TF	TF	TF
ENSG00000147872	PLIN2	 ADFP, ADRP,	"Perilipin 2"	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	123	PLIN2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000148362	PAXX	 C9orf142, XLS,	"PAXX non-homologous end joining factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	286257	PAXX	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000148444	COMMD3	 BUP, C10orf8,	"COMM domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23412	COMMD3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000148572	NRBF2	 COPR1, COPR2, DKFZp564C1664, FLJ30395,	"Nuclear receptor binding factor 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29982	NRBF2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000148700	ADD3	 ADDL,	"Adducin 3"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	120	ADD3	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr	LiverMacrophage,KupfferCells
ENSG00000148908	RGS10	 ,	"Regulator of G protein signaling 10"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6001	RGS10	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000149269	PAK1	 ,	"P21 (RAC1) activated kinase 1"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5058	PAK1	FunctionGene	FunctionGene	TopGeneInFirstStep,CancerDExpr,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000149311	ATM	 ATA, ATC, ATD, ATDC, TEL1, TELO1,	"ATM serine/threonine kinase"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	472	ATM	CancerDExpr	CancerDExpr	LiverMacrophage,KupfferCells
ENSG00000149476	TKFC	 DAK, DKFZP586B1621, NET45,	"Triokinase and FMN cyclase"	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26007	TKFC	FunctionGene	FunctionGene	FunctionGene
ENSG00000149761	NUDT22	 MGC13045,	"Nudix hydrolase 22"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84304	NUDT22	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,KupfferCells
ENSG00000149781	FERMT3	 KIND3, MGC10966, MIG-2, MIG2B, UNC112C, URP2,	"Fermitin family member 3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	83706	FERMT3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000149923	PPP4C	 PP4, PPX,	"Protein phosphatase 4 catalytic subunit"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5531	PPP4C	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000150093	ITGB1	 CD29, FNRB, GPIIA, MDF2, MSK12,	"Integrin subunit beta 1"	"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3688	ITGB1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000150347	ARID5B	 FLJ21150, MRF2,	"AT-rich interaction domain 5B"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	84159	ARID5B	TF	TF	TF,LiverMacrophage
ENSG00000150593	PDCD4	 H731,	"Programmed cell death 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27250	PDCD4	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000150779	TIMM8B	 DDP2, FLJ21744, MGC102866, MGC117373, TIM8B,	"Translocase of inner mitochondrial membrane 8 homolog B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	26521	TIMM8B	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr,LiverMacrophage,KupfferCells
ENSG00000150867	PIP4K2A	 PIP5K2A, PIP5KIIA, PIP5KIIalpha,	"Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5305	PIP4K2A	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000151500	THYN1	 THY28,	"Thymocyte nuclear protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29087	THYN1	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF	TopGeneInFirstStep,TF
ENSG00000151657	KIN	 KIN17, Rts2,	"Kin17 DNA and RNA binding protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22944	KIN	TF	TF	TF
ENSG00000151702	FLI1	 EWSR2, SIC-1,	"Fli-1 proto-oncogene, ETS transcription factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2313	FLI1	TF	TF	TF,LiverMacrophage,KupfferCells
ENSG00000152256	PDK1	 ,	"Pyruvate dehydrogenase kinase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5163	PDK1	FunctionGene	FunctionGene	FunctionGene
ENSG00000152291	TGOLN2	 TGN38, TGN46, TGN48, TGN51, TTGN2,	"Trans-golgi network protein 2"	"Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10618	TGOLN2	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000152443	ZNF776	 FLJ38288,	"Zinc finger protein 776"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284309	ZNF776	TF	TF	TF
ENSG00000152558	TMEM123	 KCT3, PORIMIN,	"Transmembrane protein 123"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	114908	TMEM123	TopGeneInFirstStep	TopGeneInFirstStep,CancerDExpr	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000152700	SAR1B	 SARA2,	"Secretion associated Ras related GTPase 1B"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51128	SAR1B	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000152818	UTRN	 DMDL, DRP, DRP1,	Utrophin	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7402	UTRN	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000153029	MR1	 HLALS,	"Major histocompatibility complex, class I-related"	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3140	MR1	FunctionGene	FunctionGene	FunctionGene
ENSG00000153310	CYRIB	 BM-009, CYRI, CYRI-B, FAM49B,	"CYFIP related Rac1 interactor B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51571	CYRIB	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000153551	CMTM7	 CKLFSF7, FLJ30992,	"CKLF like MARVEL transmembrane domain containing 7"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	112616	CMTM7	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene	TopGeneInFirstStep,FunctionGene,LiverMacrophage,KupfferCells
ENSG00000153975	ZUP1	 C6orf113, dJ412I7.3, ZUFSP,	"Zinc finger containing ubiquitin peptidase 1"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	221302	ZUFSP	TF	TF	TF
ENSG00000154144	TBRG1	 FLJ14621, NIAM, TB-5,	"Transforming growth factor beta regulator 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84897	TBRG1	TopGeneInFirstStep	TopGeneInFirstStep	KupfferCells
ENSG00000154518	ATP5MC3	 ATP5G3,	"ATP synthase membrane subunit c locus 3"	"Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	518	ATP5MC3	TopGeneInFirstStep	TopGeneInFirstStep	TopGeneInFirstStep,LiverMacrophage,KupfferCells
ENSG00000154582	ELOC	 SIII, TCEB1,	"Elongin C"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6921	ELOC	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage,KupfferCells
ENSG00000154727	GABPA	 E4TF1-60, E4TF1A, NFT2, NRF2, NRF2A,	"GA binding protein transcription factor subunit alpha"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2551	GABPA	TF	TF	TF
ENSG00000154957	ZNF18	 HDSG1, KOX11, Zfp535, ZKSCAN6, ZNF535, ZSCAN38,	"Zinc finger protein 18"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7566	ZNF18	TF	TF	TF
ENSG00000154978	VOPP1	 DKFZp564K0822, ECop, FLJ20532, GASP, WBP1L2,	"VOPP1 WW domain binding protein"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	81552	VOPP1	TopGeneInFirstStep	TopGeneInFirstStep	LiverMacrophage
ENSG00000155307	SAMSN1	 HACS1, NASH1, SASH2, SH3D6B, SLy2,	"SAM domain, SH3 domain and nuclear localization signals 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	64092	SAMSN1	CancerDExpr	TopGeneInFirstStep	CancerDExpr,LiverMacrophage,KupfferCells
